city,timestamp,api_aqi,CO,NO,NO2,O3,SO2,PM2_5,PM10,NH3,hour,day,month,weekday,is_weekend,AQI_lag_1,AQI_lag_3,AQI_lag_6,AQI_lag_12,AQI_lag_24,AQI_change,AQI_change_rate,AQI_rolling_mean_3,AQI_rolling_mean_6,AQI_rolling_std_6,target_AQI_24h,target_AQI_48h,target_AQI_72h
Lahore,2026-08-06 11:00:00+00:00,4,244.13,0.69,3.79,77.09,1.29,36.15,105.64,3.29,11,6,8,3,0,,,,,,,,,,,5.0,3.0,3.0
Lahore,2026-08-06 12:00:00+00:00,4,297.86,0.9,6.27,74.18,1.59,39.53,107.88,4.89,12,6,8,3,0,4.0,,,,,0.0,0.0,,,,5.0,3.0,3.0
Lahore,2026-08-06 13:00:00+00:00,4,354.21,0.62,9.64,67.87,1.84,41.84,109.1,6.32,13,6,8,3,0,4.0,,,,,0.0,0.0,4.0,,,5.0,2.0,3.0
Lahore,2026-08-06 14:00:00+00:00,4,391.03,0.06,11.01,57.29,1.83,42.79,106.52,5.88,14,6,8,3,0,4.0,4.0,,,,0.0,0.0,4.0,,,5.0,2.0,3.0
Lahore,2026-08-06 15:00:00+00:00,3,386.67,0.0,10.04,56.65,2.02,41.96,99.02,4.97,15,6,8,3,0,4.0,4.0,,,,-1.0,-0.25,3.6666666666666665,,,5.0,2.0,3.0
Lahore,2026-08-06 16:00:00+00:00,3,342.34,0.0,8.2,64.28,3.2,39.65,85.2,3.45,16,6,8,3,0,3.0,4.0,,,,0.0,0.0,3.3333333333333335,3.6666666666666665,0.5163977794943222,5.0,2.0,3.0
Lahore,2026-08-06 17:00:00+00:00,3,362.63,0.0,8.73,66.66,5.06,42.74,76.43,3.12,17,6,8,3,0,3.0,4.0,4.0,,,0.0,0.0,3.0,3.5,0.547722557505166,5.0,2.0,3.0
Lahore,2026-08-06 18:00:00+00:00,3,386.72,0.0,9.07,69.48,6.61,47.84,72.58,2.86,18,6,8,3,0,3.0,3.0,4.0,,,0.0,0.0,3.0,3.3333333333333335,0.516397779494322,5.0,3.0,4.0
Lahore,2026-08-06 19:00:00+00:00,4,400.84,0.0,8.97,69.29,7.06,51.96,71.01,2.6,19,6,8,3,0,3.0,3.0,4.0,,,1.0,0.33333333333333326,3.3333333333333335,3.3333333333333335,0.516397779494322,5.0,3.0,4.0
Lahore,2026-08-06 20:00:00+00:00,4,413.05,0.0,8.78,65.44,6.43,54.06,70.75,2.52,20,6,8,3,0,4.0,3.0,4.0,,,0.0,0.0,3.6666666666666665,3.3333333333333335,0.516397779494322,5.0,3.0,4.0
Lahore,2026-08-06 21:00:00+00:00,4,420.54,0.0,8.64,59.47,5.37,53.84,70.28,2.53,21,6,8,3,0,4.0,3.0,3.0,,,0.0,0.0,4.0,3.5,0.547722557505166,5.0,3.0,4.0
Lahore,2026-08-06 22:00:00+00:00,4,421.18,0.0,8.47,54.47,4.47,52.07,69.47,2.44,22,6,8,3,0,4.0,4.0,3.0,,,0.0,0.0,4.0,3.6666666666666665,0.5163977794943222,5.0,3.0,4.0
Lahore,2026-08-06 23:00:00+00:00,4,430.25,0.0,8.47,49.92,3.75,51.86,69.2,2.28,23,6,8,3,0,4.0,4.0,3.0,4.0,,0.0,0.0,4.0,3.8333333333333335,0.408248290463863,5.0,3.0,4.0
Lahore,2026-08-07 00:00:00+00:00,4,460.48,0.0,8.78,43.97,3.26,54.3,69.76,2.17,0,7,8,4,0,4.0,4.0,3.0,4.0,,0.0,0.0,4.0,4.0,0.0,5.0,3.0,4.0
Lahore,2026-08-07 01:00:00+00:00,4,511.12,0.0,9.03,37.67,3.13,59.18,71.72,2.03,1,7,8,4,0,4.0,4.0,4.0,4.0,,0.0,0.0,4.0,4.0,0.0,4.0,3.0,4.0
Lahore,2026-08-07 02:00:00+00:00,4,572.04,0.27,9.19,34.18,3.44,64.38,75.05,1.92,2,7,8,4,0,4.0,4.0,4.0,4.0,,0.0,0.0,4.0,4.0,0.0,4.0,3.0,4.0
Lahore,2026-08-07 03:00:00+00:00,4,616.14,1.06,8.77,38.04,3.98,67.47,77.4,1.8,3,7,8,4,0,4.0,4.0,4.0,3.0,,0.0,0.0,4.0,4.0,0.0,4.0,3.0,4.0
Lahore,2026-08-07 04:00:00+00:00,4,588.65,1.13,7.57,58.02,4.83,66.41,77.26,1.5,4,7,8,4,0,4.0,4.0,4.0,3.0,,0.0,0.0,4.0,4.0,0.0,3.0,3.0,3.0
Lahore,2026-08-07 05:00:00+00:00,5,607.1,0.95,6.06,82.34,4.66,77.01,88.17,1.61,5,7,8,4,0,4.0,4.0,4.0,3.0,,1.0,0.25,4.333333333333333,4.166666666666667,0.4082482904638634,3.0,3.0,3.0
Lahore,2026-08-07 06:00:00+00:00,5,638.15,0.54,4.25,116.36,4.23,97.56,108.86,1.44,6,7,8,4,0,5.0,4.0,4.0,3.0,,0.0,0.0,4.666666666666667,4.333333333333333,0.5163977794943228,3.0,4.0,3.0
Lahore,2026-08-07 07:00:00+00:00,4,451.33,0.22,1.93,131.54,3.14,74.04,90.72,0.65,7,7,8,4,0,5.0,4.0,4.0,4.0,,-1.0,-0.19999999999999996,4.666666666666667,4.333333333333333,0.5163977794943228,3.0,3.0,3.0
Lahore,2026-08-07 08:00:00+00:00,4,391.99,0.16,1.4,132.33,2.45,63.31,80.27,0.48,8,7,8,4,0,4.0,5.0,4.0,4.0,,0.0,0.0,4.333333333333333,4.333333333333333,0.5163977794943228,3.0,3.0,3.0
Lahore,2026-08-07 09:00:00+00:00,4,412.94,0.15,1.43,137.7,2.41,64.98,79.9,0.51,9,7,8,4,0,4.0,5.0,4.0,4.0,,0.0,0.0,4.0,4.333333333333333,0.5163977794943228,3.0,3.0,3.0
Lahore,2026-08-07 10:00:00+00:00,4,453.26,0.18,1.89,141.77,2.6,70.09,83.25,0.86,10,7,8,4,0,4.0,4.0,4.0,4.0,,0.0,0.0,4.0,4.333333333333333,0.5163977794943228,3.0,3.0,3.0
Lahore,2026-08-07 11:00:00+00:00,5,508.32,0.22,2.85,143.29,2.88,78.16,90.02,1.56,11,7,8,4,0,4.0,4.0,5.0,4.0,4.0,1.0,0.25,4.333333333333333,4.333333333333333,0.5163977794943228,3.0,3.0,3.0
Lahore,2026-08-07 12:00:00+00:00,5,567.67,0.22,4.36,143.38,3.18,85.71,96.58,2.26,12,7,8,4,0,5.0,4.0,5.0,4.0,4.0,0.0,0.0,4.666666666666667,4.333333333333333,0.5163977794943228,3.0,3.0,3.0
Lahore,2026-08-07 13:00:00+00:00,5,679.05,0.17,9.06,123.4,3.35,94.79,105.59,4.13,13,7,8,4,0,5.0,4.0,4.0,4.0,4.0,0.0,0.0,5.0,4.5,0.5477225575051666,2.0,3.0,4.0
Lahore,2026-08-07 14:00:00+00:00,5,823.37,0.02,14.56,92.58,3.35,105.19,117.01,6.59,14,7,8,4,0,5.0,5.0,4.0,4.0,4.0,0.0,0.0,5.0,4.666666666666667,0.516397779494323,2.0,3.0,4.0
Lahore,2026-08-07 15:00:00+00:00,5,950.93,0.0,17.84,71.65,3.34,114.97,128.19,8.55,15,7,8,4,0,5.0,5.0,4.0,4.0,3.0,0.0,0.0,5.0,4.833333333333333,0.40824829046386424,2.0,3.0,4.0
Lahore,2026-08-07 16:00:00+00:00,5,1047.6,0.0,19.91,57.74,3.1,123.89,137.78,8.98,16,7,8,4,0,5.0,5.0,4.0,4.0,3.0,0.0,0.0,5.0,5.0,0.0,2.0,3.0,4.0
Lahore,2026-08-07 17:00:00+00:00,5,1108.49,0.0,20.25,49.16,2.75,130.93,144.44,7.98,17,7,8,4,0,5.0,5.0,5.0,5.0,3.0,0.0,0.0,5.0,5.0,0.0,2.0,3.0,4.0
Lahore,2026-08-07 18:00:00+00:00,5,1113.76,0.0,18.84,47.26,2.49,132.21,144.22,6.59,18,7,8,4,0,5.0,5.0,5.0,5.0,3.0,0.0,0.0,5.0,5.0,0.0,3.0,4.0,4.0
Lahore,2026-08-07 19:00:00+00:00,5,999.77,0.0,13.54,61.36,2.56,122.09,130.94,4.72,19,7,8,4,0,5.0,5.0,5.0,4.0,4.0,0.0,0.0,5.0,5.0,0.0,3.0,4.0,4.0
Lahore,2026-08-07 20:00:00+00:00,5,953.13,0.0,12.59,53.63,2.22,114.83,122.57,3.92,20,7,8,4,0,5.0,5.0,5.0,4.0,4.0,0.0,0.0,5.0,5.0,0.0,3.0,4.0,4.0
Lahore,2026-08-07 21:00:00+00:00,5,925.98,0.0,12.49,43.84,1.91,108.47,115.83,3.76,21,7,8,4,0,5.0,5.0,5.0,4.0,4.0,0.0,0.0,5.0,5.0,0.0,3.0,4.0,4.0
Lahore,2026-08-07 22:00:00+00:00,5,906.37,0.0,12.49,35.93,1.76,102.59,109.63,3.59,22,7,8,4,0,5.0,5.0,5.0,4.0,4.0,0.0,0.0,5.0,5.0,0.0,3.0,4.0,3.0
Lahore,2026-08-07 23:00:00+00:00,5,879.39,0.0,11.99,31.52,1.82,95.06,101.28,2.79,23,7,8,4,0,5.0,5.0,5.0,5.0,4.0,0.0,0.0,5.0,5.0,0.0,3.0,4.0,3.0
Lahore,2026-08-08 00:00:00+00:00,5,838.73,0.0,10.97,30.69,2.14,84.87,89.91,2.13,0,8,8,5,1,5.0,5.0,5.0,5.0,4.0,0.0,0.0,5.0,5.0,0.0,3.0,4.0,3.0
Lahore,2026-08-08 01:00:00+00:00,4,768.61,0.0,8.77,37.13,2.73,71.1,74.85,1.53,1,8,8,5,1,5.0,5.0,5.0,5.0,4.0,-1.0,-0.19999999999999996,4.666666666666667,4.833333333333333,0.40824829046386424,3.0,4.0,3.0
