city,timestamp,api_aqi,CO,NO,NO2,O3,SO2,PM2_5,PM10,NH3
Lahore,2026-08-06 11:00:00+00:00,4,244.13,0.69,3.79,77.09,1.29,36.15,105.64,3.29
Lahore,2026-08-06 12:00:00+00:00,4,297.86,0.9,6.27,74.18,1.59,39.53,107.88,4.89
Lahore,2026-08-06 13:00:00+00:00,4,354.21,0.62,9.64,67.87,1.84,41.84,109.1,6.32
Lahore,2026-08-06 14:00:00+00:00,4,391.03,0.06,11.01,57.29,1.83,42.79,106.52,5.88
Lahore,2026-08-06 15:00:00+00:00,3,386.67,0.0,10.04,56.65,2.02,41.96,99.02,4.97
Lahore,2026-08-06 16:00:00+00:00,3,342.34,0.0,8.2,64.28,3.2,39.65,85.2,3.45
Lahore,2026-08-06 17:00:00+00:00,3,362.63,0.0,8.73,66.66,5.06,42.74,76.43,3.12
Lahore,2026-08-06 18:00:00+00:00,3,386.72,0.0,9.07,69.48,6.61,47.84,72.58,2.86
Lahore,2026-08-06 19:00:00+00:00,4,400.84,0.0,8.97,69.29,7.06,51.96,71.01,2.6
Lahore,2026-08-06 20:00:00+00:00,4,413.05,0.0,8.78,65.44,6.43,54.06,70.75,2.52
Lahore,2026-08-06 21:00:00+00:00,4,420.54,0.0,8.64,59.47,5.37,53.84,70.28,2.53
Lahore,2026-08-06 22:00:00+00:00,4,421.18,0.0,8.47,54.47,4.47,52.07,69.47,2.44
Lahore,2026-08-06 23:00:00+00:00,4,430.25,0.0,8.47,49.92,3.75,51.86,69.2,2.28
Lahore,2026-08-07 00:00:00+00:00,4,460.48,0.0,8.78,43.97,3.26,54.3,69.76,2.17
Lahore,2026-08-07 01:00:00+00:00,4,511.12,0.0,9.03,37.67,3.13,59.18,71.72,2.03
Lahore,2026-08-07 02:00:00+00:00,4,572.04,0.27,9.19,34.18,3.44,64.38,75.05,1.92
Lahore,2026-08-07 03:00:00+00:00,4,616.14,1.06,8.77,38.04,3.98,67.47,77.4,1.8
Lahore,2026-08-07 04:00:00+00:00,4,588.65,1.13,7.57,58.02,4.83,66.41,77.26,1.5
Lahore,2026-08-07 05:00:00+00:00,5,607.1,0.95,6.06,82.34,4.66,77.01,88.17,1.61
Lahore,2026-08-07 06:00:00+00:00,5,638.15,0.54,4.25,116.36,4.23,97.56,108.86,1.44
Lahore,2026-08-07 07:00:00+00:00,4,451.33,0.22,1.93,131.54,3.14,74.04,90.72,0.65
Lahore,2026-08-07 08:00:00+00:00,4,391.99,0.16,1.4,132.33,2.45,63.31,80.27,0.48
Lahore,2026-08-07 09:00:00+00:00,4,412.94,0.15,1.43,137.7,2.41,64.98,79.9,0.51
Lahore,2026-08-07 10:00:00+00:00,4,453.26,0.18,1.89,141.77,2.6,70.09,83.25,0.86
Lahore,2026-08-07 11:00:00+00:00,5,508.32,0.22,2.85,143.29,2.88,78.16,90.02,1.56
Lahore,2026-08-07 12:00:00+00:00,5,567.67,0.22,4.36,143.38,3.18,85.71,96.58,2.26
Lahore,2026-08-07 13:00:00+00:00,5,679.05,0.17,9.06,123.4,3.35,94.79,105.59,4.13
Lahore,2026-08-07 14:00:00+00:00,5,823.37,0.02,14.56,92.58,3.35,105.19,117.01,6.59
Lahore,2026-08-07 15:00:00+00:00,5,950.93,0.0,17.84,71.65,3.34,114.97,128.19,8.55
Lahore,2026-08-07 16:00:00+00:00,5,1047.6,0.0,19.91,57.74,3.1,123.89,137.78,8.98
Lahore,2026-08-07 17:00:00+00:00,5,1108.49,0.0,20.25,49.16,2.75,130.93,144.44,7.98
